epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
63,1088.52,0.60247,0.89107,0.67808,0.87928,0,0.51525,0.71093,0.60677,0.47283,0.50279,0.69782,0.59117,0.33161,0.7108,0.90304,1.21648,0.94087,0,0.0003862,0.0003862,0.0003862
64,1105.83,0.57945,0.86202,0.71352,0.88228,0,0.56493,0.72672,0.65572,0.51447,0.56465,0.72462,0.65371,0.3663,0.70916,0.95395,1.10285,0.94339,0,0.0003763,0.0003763,0.0003763
65,1119.82,0.60939,0.8708,0.71092,0.8857,0,0.58542,0.67744,0.64561,0.49908,0.56961,0.66729,0.63585,0.34537,0.72078,0.97974,1.20163,0.95109,0,0.0003664,0.0003664,0.0003664
66,1136.98,0.57704,0.83922,0.66117,0.86916,0,0.57466,0.73502,0.69293,0.54092,0.61777,0.65642,0.68367,0.3823,0.70562,0.92844,0.98663,0.94827,0,0.0003565,0.0003565,0.0003565
67,1148.3,0.56351,0.82938,0.65201,0.87325,0,0.62997,0.67721,0.69086,0.54008,0.62392,0.67108,0.68194,0.37305,0.70109,0.98418,0.97887,0.94702,0,0.0003466,0.0003466,0.0003466
68,1167.51,0.57359,0.83941,0.65175,0.8744,0,0.60547,0.67156,0.6744,0.53213,0.59308,0.6611,0.66005,0.36002,0.69062,0.9913,1.06602,0.93555,0,0.0003367,0.0003367,0.0003367
69,1196.33,0.60965,0.86746,0.72759,0.87683,0,0.62738,0.70154,0.70182,0.54687,0.61968,0.69047,0.68946,0.37951,0.70202,0.95802,0.94172,0.94486,0,0.0003268,0.0003268,0.0003268
70,1214.03,0.57611,0.8377,0.65836,0.87291,0,0.61868,0.67238,0.66186,0.5101,0.60229,0.66259,0.64313,0.3372,0.69018,0.9493,1.07082,0.94062,0,0.0003169,0.0003169,0.0003169
71,1232.06,0.57534,0.83104,0.62853,0.86513,0,0.60412,0.6924,0.65779,0.51405,0.59505,0.68212,0.64503,0.34705,0.69017,0.92532,1.09716,0.93364,0,0.000307,0.000307,0.000307
72,1246.06,0.55843,0.83385,0.6243,0.87012,0,0.61677,0.65515,0.63704,0.4978,0.59112,0.6649,0.62401,0.34279,0.69531,0.95155,1.11548,0.93362,0,0.0002971,0.0002971,0.0002971
73,1260.39,0.55177,0.82806,0.60695,0.87012,0,0.60938,0.67518,0.64637,0.50398,0.60645,0.65343,0.6359,0.34847,0.69666,0.96417,1.05097,0.93368,0,0.0002872,0.0002872,0.0002872
